"","불량","adress","contents","time","money","career","sex","age","education","employment","personnel","period","week","close","detail_adress","realtime"
"45",1,"익산시 전체","세종헤어 익산점익산 세종헤어 미용실에서 함께하실 인턴,디자이너 모집합니","10:00~07:30","월급2,200,000","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직","0명 (10명 미만)","1년이상","주5일","2019년 4월 26일(금) ~ 상시모집","전북 익산시 고봉로 309<U+00A0>(영등동) 세종헤어 3층<U+00A0>전북 익산시 전체","3.5"
"46",1,"완주군 봉동읍","채선당 불고기 쌈밥  전북봉동점아르바이트모집","11:00~15:00 (로테이션)","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 시간협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 완주군 봉동읍 과학로 1025<U+00A0>채선당<U+00A0>전북 완주군 봉동읍","4"
"47",1,"익산시 모현동1","쥬씨 익산모현점쥬씨 익산 모현점에서 아르바이트생을 구합니다","16:00~22:00","시급8,350","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","2명","3개월~6개월","목, 금, 토, 일요일 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 20일(월)","전북 익산시 고현로 96<U+00A0>1층쥬씨<U+00A0>전북 익산시 모현동1가","6"
"48",1,"완주군 봉동읍","채선당 불고기 쌈밥  전북봉동점아르바이트모집","11:00~15:00 (로테이션)","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 시간협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 완주군 봉동읍 과학로 1025<U+00A0>채선당<U+00A0>전북 완주군 봉동읍","4"
"49",1,"익산시 부송동","풀무원녹즙익산가맹점풀무원녹즙 모닝스텝 여성구인","08:00~12:00","월급1,000,000","무관(신입+경력)","여자","35세(1985년생) ~ 50세(1970년생) 미성년자 불가","고등학교 졸업 이상","정규직","1명","1년이상","주5일","2019년 5월 3일(금) ~ 상시모집","전북 익산시 부송동<U+00A0>1045-3번지<U+00A0>전북 익산시 부송동","4"
"50",1,"전주시 전체","롯데리아 전주고사점##배달사원 및 매장사원 모집[투잡가능]##","00:00~24:00","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 전주객사5길 22-3<U+00A0>롯데리아 전주고사점<U+00A0>전북 전주시 완산구 전체","24"
"51",1,"전주시 전체","롯데리아 전주고사점##배달사원 및 매장사원 모집[투잡가능]##","00:00~24:00","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 전주객사5길 22-3<U+00A0>롯데리아 전주고사점<U+00A0>전북 전주시 완산구 전체","24"
"52",1,"전주시 전체","롯데리아 전주고사점##배달사원 및 매장사원 모집[투잡가능]##","00:00~24:00","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 전주객사5길 22-3<U+00A0>롯데리아 전주고사점<U+00A0>전북 전주시 완산구 전체","24"
"53",1,"전주시 전체","롯데리아 전주고사점##배달사원 및 매장사원 모집[투잡가능]##","00:00~24:00","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 전주객사5길 22-3<U+00A0>롯데리아 전주고사점<U+00A0>전북 전주시 완산구 전체","24"
"54",1,"전주시 전체","롯데리아 전주고사점##배달사원 및 매장사원 모집[투잡가능]##","00:00~24:00","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 전주객사5길 22-3<U+00A0>롯데리아 전주고사점<U+00A0>전북 전주시 완산구 전체","24"
"55",1,"전주시 반월동","메가커피【 급  구 /강력추 천 】메가커피에서 일할 주말 평일  남여","19:00~22:00","시급8,350","경력(1년 이상)","성별무관","21세(1999년생) ~ 29세(1991년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상","월~금 (요일협의가능 : 협의후결정)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 쪽구름로 120<U+00A0>.<U+00A0>전북 전주시 덕진구 반월동","3"
"56",1,"완주군 봉동읍","(주)에이치알사람인꿀.꿀알바/봉동/물품피킹업무/일급78,000원/통근버스운행(전","10:00~19:00","일급78,000","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직","2명","3개월~6개월","주5일","2019년 5월 7일(화) ~ 상시모집","전북 완주군 봉동읍 완주산단2로 282-21<U+00A0>에이치알사람인<U+00A0>전북 완주군 봉동읍","9"
"57",1,"익산시 전체","CJ택배/회사차량지원/지입X/선수금X[월500]지나면 다시 오지 않을 오늘, 도전하세요","08:00~18:00","월급4,500,000","무관(신입+경력)","성별무관","22세(1998년생) ~ 58세(1962년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","3명","1년이상","월~토","2019년 5월 6일(월) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 익산시 인북로 226-7<U+00A0>(익산시청)<U+00A0>전북 익산시 전체","10"
"58",1,"전주시 송천동1","씨제이홈쇼핑전담/정규물류사원/채용공고[소화물배송월평균578만원+추가수당]거주지역인근배송/교통비","08:00~18:00","월급5,000,000","무관(신입+경력)","성별무관","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상 (기간협의가능)","주5일","2019년 5월 7일(화) ~ 2019년 5월 27일(월)","전북 전주시 덕진구 벚꽃로 55<U+00A0>(진북동)<U+00A0>전북 전주시 덕진구 송천동1가","10"
"59",1,"전주시 덕진동2","하가춘천닭갈비평일알바","18:30~21:30","시급8,500","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월 (기간협의가능)","주4일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 가리내6길 20<U+00A0>하가춘천닭갈비<U+00A0>전북 전주시 덕진구 덕진동2가","3"
"60",1,"익산시 전체","KM잡-건설취업전문건설현장/파주.칸막이(잔업풀)/이천.평택.칸막이.전기/서울.","08:00~18:00","월급3,500,000","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","00명 (100명 미만)","6개월~1년","월~토","2019년 5월 6일(월) ~ 상시모집","4<U+00A0>7<U+00A0>전북 익산시 전체","10"
"61",1,"전주시 인후동1","필아로마테라피스포츠마사지, 아로마, 스웨디시 / 오전, 저녁 관리사 급구합","10:00~21:00","월급3,000,000","무관(신입+경력)","여자","연령무관 ","학력무관","아르바이트, 정규직","1명","6개월~1년 (수습기간있음)","주6일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 건산로 239<U+00A0>3층<U+00A0>전북 전주시 덕진구 인후동1가","11"
